Baseline characteristics of UC/IBD-U patients grouped by CAM use versus no-CAM use

Characteristics of UC/IBD-U patients,CAM (n=35),No-CAM (n=17),p-value
Baseline,,,,
Diagnosis,Ulcerative colitis,25 (71),16 (94),0.078
Diagnosis,IBD-U,10 (29),1 (6),
Age at diagnosis,years,median (IQR),9.0 (4.0, 12.0),8.0 (6.0, 13.0),>0.999
Gender: Female,16 (46),8 (47),0.927
Disease location at diagnosis,E2,7 (21),5 (31),0.492
Disease location at diagnosis,E4,26 (79),11 (69),
Disease location at diagnosis,Missing,2 (6),1 (6),
Surgery (Colectomy),1 (3),1 (6),0.5
Extraintestinal manifestations,13 (37),7 (41),0.779
Family history of IBD,2 (6),4 (24),0.081
At CAM-SD questionnaire,,,,
Age,years,mean (IQR),15.00 (12.00, 16.00),13.00 (12.00, 16.00),0.634
Disease duration,years,median (IQR),4 (3, 7),4 (3, 5),0.459
Disease activity (PUCAI),Remission,28 (82),12 (86),>0.999
Disease activity (PUCAI),Mild disease,4 (12),1 (6),
Disease activity (PUCAI),Moderate disease,2 (6),1 (6),
Disease activity (PUCAI),Missing,1 (3),3 (18),
Dietary restrictions,24 (69),6 (35),0.023
HRQOL,,,,
IMPACT III (CH) total score,median (IQR),98 (90, 103),97 (90, 102),0.976
